,websites,CDN
0,quora.com,[Fastly]
1,slickdeals.net,[Instart Logic]
2,udemy.com,[Cloudflare]
3,stackexchange.com,[Fastly]
4,pearsoncmg.com,[Level3]
5,apple.com,[Akamai]
6,accuweather.com,[Akamai]
7,rottentomatoes.com,[Akamai]
8,wikihow.com,[Fastly]
9,olx.com.br,[Amazon CloudFront]
10,adp.com,[Akamai]
11,lemonde.fr,[Fastly]
12,lifewire.com,[Fastly]
13,convert2mp3.net,[Cloudflare]
14,teamviewer.com,[Amazon CloudFront]
15,cbssports.com,[Akamai]
16,ieee.org,[Akamai]
17,ltn.com.tw,[Amazon CloudFront]
18,lowes.com,[Akamai]
19,naver.com,[Akamai]
20,gfycat.com,[Amazon CloudFront]
21,ouo.io,[Cloudflare]
22,asos.com,[Akamai]
23,17track.net,[Cloudflare]
24,tripadvisor.com,[Verizon Digital Media]
25,nyaa.si,[Sucuri]
26,creditonebank.com,[Level3]
27,express.co.uk,[Amazon CloudFront]
28,zougla.gr,[Akamai]
29,ccm.net,[Akamai]
30,airbnb.com,[Fastly]
31,appledaily.com,[Akamai]
32,mlb.com,[Akamai]
33,heraldweekly.com,[Amazon CloudFront]
34,libero.it,[Amazon CloudFront]
35,healthline.com,[Akamai]
36,hola.com,[Akamai]
37,w3schools.com,[Verizon Digital Media]
38,irs.gov,[Akamai]
39,nature.com,[Fastly]
40,uptobox.com,[Cloudflare]
41,feedly.com,[Cloudflare]
42,coinmarketcap.com,[Cloudflare]
43,xinhuanet.com,[Akamai]
44,fidelity.com,[Akamai]
45,adobe.com,[Akamai]
46,monografias.com,[Amazon CloudFront]
47,tempo.co,[Amazon CloudFront]
48,kayak.com,[Fastly]
49,olx.ua,[Akamai]
50,theatlantic.com,[Fastly]
51,ameblo.jp,[Akamai]
52,hotels.com,[Akamai]
53,porn555.com,[Cloudflare]
54,ebates.com,[Akamai]
55,wiley.com,[Amazon CloudFront]
56,coursera.org,[Amazon CloudFront]
57,uptodown.com,[Akamai]
58,forbes.com,[Fastly]
59,tmz.com,[Amazon CloudFront]
60,kooora.com,[Incapsula]
61,gamer.com.tw,[Cloudflare]
62,justdial.com,[Akamai]
63,mercadolibre.com.ve,[Level3]
64,dailymail.co.uk,[Akamai]
65,gearbest.com,[Akamai]
66,cbsnews.com,[Akamai]
67,diply.com,[Fastly]
68,thestartmagazine.com,[Amazon CloudFront]
69,vimeo.com,[Fastly]
70,chouftv.ma,[Cloudflare]
71,namu.wiki,[Cloudflare]
72,soundcloud.com,[Amazon CloudFront]
73,hulu.com,[Akamai]
74,gotporn.com,[Cloudflare]
75,myntra.com,[Akamai]
76,amazon.de,[Akamai]
77,xda-developers.com,[Cloudflare]
78,hotnewhiphop.com,[Verizon Digital Media]
79,vanguardngr.com,[Cloudflare]
80,indiatimes.com,[Akamai]
81,qq.com,[Akamai]
82,paypal.com,[Akamai]
83,mathworks.com,[Akamai]
84,elmundo.es,[Akamai]
85,yespornplease.com,[Cloudflare]
86,state.gov,[Level3]
87,yts.am,[Cloudflare]
88,wsj.com,[Amazon CloudFront]
89,znanija.com,[Cloudflare]
90,inquirer.net,[Cloudflare]
91,otvfoco.com.br,[Cloudflare]
92,upornia.com,[Cloudflare]
93,thepiratebay.org,[Cloudflare]
94,setn.com,[Amazon CloudFront]
95,expedia.com,[Akamai]
96,makemytrip.com,[Akamai]
97,intel.com,[Akamai]
98,mit.edu,[Akamai]
99,mayoclinic.org,[Akamai]
100,beeg.com,[Cloudflare]
101,hubspot.com,[Cloudflare]
102,cinecalidad.to,[Cloudflare]
103,autodesk.com,[Akamai]
104,cimaclub.com,[Cloudflare]
105,redd.it,[Fastly]
106,banggood.com,[Akamai]
107,narcity.com,[Cloudflare]
108,genius.com,[Cloudflare]
109,asus.com,[Akamai]
110,marca.com,[Akamai]
