,Reverse-Proxy-Services,Sites
0,Cloudflare,106413
1,Akamai,12156
2,Amazon CloudFront,9902
3,Incapsula,4431
4,Sucuri,4200
5,Fastly,4157
6,Level3,3455
7,Verizon Digital Media,602
8,Netlify,578
9,DOSarrest,357
10,Stack Path,318
11,Quantil,314
12,Azion,254
13,Myracloud,228
14,Dosarrest,207
15,CacheFly,201
16,Fireblade,192
17,CDNetworks,76
18,ChinaCache,57
19,DN77,45
20,ChinaNetCenter,45
21,Highwinds,37
22,Limelight,32
23,Airee,32
24,Instart Logic,31
25,BitGravity,26
26,Grey Wizard,23
27,Clever Cloud,16
28,Beluga,12
29,NGENIX,11
30,CDNvideo,4
31,ArvanCloud,4
32,Microsoft Azure,3
33,Turbobyte,3
34,KeyCDN,2
35,Backtory,1
36,CDNsun,1
