,app,num
0,Apache,292495
1,Nginx,254447
2,cloudflare,99849
3,Microsoft-IIS,66851
4,LiteSpeed,20671
5,OpenGSE,20067
6,openresty,18326
7,sucuri/cloudproxy,3899
8,amazons3,3215
9,Apache Traffic Server,3099
10,github.com,2976
11,,2928
12,Tengine,2029
13,Cowboy,1875
14,flywheel/4.1.0,1801
15,ideawebserver/0.83.148,1744
16,Microsoft HTTPAPI,1734
17,dps/1.4.17,1282
18,netlify,970
19,akamaighost,968
20,Google App Engine,814
21,openresty/1.11.2.4,778
22,ghs,662
23,kestrel,632
24,Google Servers,627
25,aruba-proxy,617
26,jino.ru/mod_pizza,601
27,lighttpd,589
28,openresty/1.13.6.2,551
29,gunicorn,455
30,varnish,420
31,eHTTP,387
32,www server/1.1,295
33,qrator,293
34,pws/8.3.2,289
35,pagely gateway/1.5.1,284
36,cdk-websites,282
37,server,277
38,zenedge,260
39,ngjit,252
40,Zope,239
41,bws,235
42,openresty/1.13.6.1,219
43,cloudfront,216
44,dcsaas/httpd,213
45,Jetty,205
46,o2switch powerboost,204
47,atyponws/7.1,170
48,arvancloud,169
49,Starlet,167
50,nxfps,162
51,iis,154
52,openresty/1.11.2.2,149
53,caddy,140
54,awselb/2.0,139
55,unknown,137
56,shield,137
57,webserver,136
58,Lotus Domino,134
59,gocache,128
60,pagely-ares/1.3.4,125
61,reblaze secure web gateway,122
62,none,117
63,magestack-magentoos,112
64,myracloud,110
65,IBM HTTP Server,110
66,sun-one-web-server/6.1,104
67,httpd,99
68,wts/1.2,98
69,squeegit/1.2.5 (3_sir),97
70,Oracle Application Server,91
71,ws-httpd,87
72,ssws,87
73,dosarrest,84
74,Resin,82
75,- web acceleration by http://www.unixy.net/varnish,81
76,openresty/1.11.2.1,80
77,ecacc (dcc/42a7),80
78,GlassFish,77
79,wsgiserver/0.1 python/2.6.1,75
80,kayak/1.0,75
81,netdna-cache/2.2,73
82,openresty/1.11.2.5,72
83,api-gateway/1.9.3.1,70
84,nwss,69
85,envoy,68
86,HTTP-Server,67
87,centos webpanel: protected by mod security,65
88,toofun/1.0.1,64
89,uploadserver,63
90,-,60
91,oracle-iplanet-web-server/7.0,58
92,web server,58
93,wisepanel web server,57
94,pagely-ares/1.3.11,57
95,beaver,57
96,now,56
97,esf,54
98,bigip,53
99,web,52
100,0,52
101,mopro web engine,52
102,ud webspace 3.0,52
103,2.0.0.2.2.4127606,51
104,nguardx,50
105,apptegy proxy,50
106,httpv2,49
107,TornadoServer,46
108,marco/2.6,46
109,thin,44
110,gwt,44
111,- web acceleration by mocha cache,42
112,awex,41
113,"kestrel, gs18",41
114,openresty/1.9.15.1,41
115,wildfly/10,40
116,jsp3/2.0.14,39
117,sffe,39
118,keycdn-engine,38
119,fasterize,38
120,nghttpx,38
121,perl dancer2 0.204000,38
122,variti/0.9.3a,37
123,radfaws,37
124,akka-http/10.0.0-100-netsuite-02,37
125,scutum,36
126,httpv2(13.12),36
127,footprint distributor v6.1.951.25,36
128,marrakesh 1.15.2,36
129,application-server,35
130,fbs,35
131,aasaam,35
132,pepyaka/1.13.10,34
133,web r,33
134,mi,33
135,zgs,32
136,dreamlab accelerator,32
137,cdn77-turbo,32
138,nws_sp,31
139,dnsme http redirection,31
140,airee/cloud,31
141,Flask,30
142,cm4all webserver,29
143,datadome,29
144,pws/8.3.1.0.8,29
145,protected by comodo waf,28
146,safedog waf,28
147,tomahawk ultra,27
148,omcnet webserver,27
149,zeus/4.3,27
150,imio,27
151,pagely-ares/1.3.10,26
152,virb <3's you!,26
153,skipper,26
154,openresty/1.11.2.3,26
155,greywizard-1.9,25
156,ia web server,25
157,waitress,24
158,powerboutique/2.2.3/10.0.0,24
159,cho,23
160,global webserver,23
161,singularcdn,23
162,googlealpha-1.9,23
163,waf/2.4-12.1,23
164,portfoliobox,22
165,pcx/no-cache,22
166,0w/0.8e,22
167,nws_tcloud_s1,21
168,micro_httpd,21
169,coreyecdn,20
170,webrick/1.3.1 (ruby/2.3.4/2017-03-30),20
171,ingaia sites,20
172,ecd (hhp/9abf),20
173,consultix webserver,20
174,dnionos/1.11.2.4_12,20
175,youtube frontend proxy,20
176,mastodon,20
177,360wzws,20
178,zeroserver,19
179,httpv2(13.9),19
180,wifeo,19
181,wpx cloud/sgpr01,19
182,grm - pd2015,19
183,noyb,19
184,by drsrv.com,18
185,web server 1.1,18
186,esky-edge,18
187,sopws,18
188,ecd (hhp/9abe),18
189,ecd (hhp/9acc),17
190,surgecdn/1.2.0,17
191,http/1.1,17
192,kindred-loadbalancer,17
193,odiso,17
194,firewall,17
195,jas bhv3,17
196,xxxxxxxxxxxxxxxxxx,17
197,pro-managed,17
198,unix-server,16
199,basiscore 1.0.1,16
200,wts/1.4,16
201,anaxa llc web server,16
202,elb,16
203,JBoss Application Server,16
204,yoncu bilisim cozumleri,16
205,protected by comodo waf mod_bwlimited/1.4,16
206,Cherokee,16
207,Warp,16
208,SAP,16
209,akamainetstorage,15
210,my web server,15
211,al_test,15
212,wts/1.1,15
213,wildfly/8,15
214,.,15
215,"web hosting by dot enterprise co.,ltd (http://www.de.co.th/)",15
216,lpgenerator.ru,15
217,webrick/1.3.1 (ruby/2.0.0/2015-12-16),14
218,bytex/1.14.0,14
219,http,14
220,loadbalancer,14
221,xxxxxxx,14
222,nodejs v6.10,14
223,funeralone-f1connect/2.0,14
224,suduserver,14
225,newcloud-v,14
226,haste,14
227,ecd (hhp/9adb),13
228,sun-java-system-web-server/7.0,13
229,*****************,13
230,pastewsgiserver/0.5 python/2.7.9,13
231,iitp server,13
232,mikrotik httpproxy,13
233,wt_11.13,13
234,openresty/1.9.7.4,13
235,scicube_limited,13
236,securitycore,13
237,wiziserver,13
238,if_waf,12
239,provided by server24.it,12
240,powered by acwebconnecting,12
241,opencms/9.5.2,12
242,n/a,12
243,"caddy, site123secure",12
244,roxen/6.1.244-r4,12
245,CherryPy,12
246,null,12
247,firewall/1.8.0,12
248,ngx_openresty,12
249,internet,12
250,openresty/1.9.7.3,12
251,visualsoft,12
252,eplica,12
253,myserver,12
254,wswaf/2.7.0-7.el6,12
255,wpthing/0.8.4,12
256,mojolicious (perl),11
257,pagely-ares/1.3.7,11
258,squiz,11
259,hyperfilter - hwp/2.0.0,11
260,nitro,11
261,www.ejuniper.com,11
262,opencms/9.0.1,11
263,inetweek server,11
264,zeus/4_3,11
265,netnames,11
266,fireshield,11
267,ck server,11
268,nunya,11
269,roxen,11
270,datapalm/3.5,11
271,imu,11
272,wildfly 8,10
273,blizhost-cloudcache,10
274,pagely-ares/1.3.6,10
275,carrot,10
276,openbsd httpd,10
277,icore proxy module,10
278,fly.io (918585c),10
279,vwebserver,10
280,binford/6100,10
281,ninja,10
282,ipl/2.2,10
283,thrive-05629b7e3ea12b804-ap-southeast-1,10
284,iii 100,10
285,w3pcloud,10
286,domain-redirector 2.0,10
287,varnish (hit),10
288,1,10
289,AOLserver,10
290,wildfly/11,10
291,increo ninja server,10
292,custom server,10
293,shop-application.com,9
294,carlossantana/1.9.4.7,9
295,sitew webserver 1.2.0,9
296,squid,9
297,(null),9
298,perl dancer 1.3202,9
299,sgw,9
